序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
60,aime_Qwen3-8B_S8,64,1,1,3,60,0.27777777777777773,0.5865731072030846,92183.33333333333,697759.6666666666,1.728654463558663e+16,94637137166701.5
61,aime_Qwen3-8B_S4,64,1,1,3,60,0.25555555555555554,0.5370925421186047,95639.0,364111.0,1.1608152565303894e+16,66593033509559.47
62,aime_Qwen3-8B_S2,64,1,1,3,60,0.2111111111111111,0.4981283410766238,93875.0,187621.33333333334,7446425853044841.0,44112907183416.88
63,aime_Qwen3-8B_S1,64,1,1,3,60,0.1611111111111111,0.4202875977274922,105600.0,105600.0,4909949243908961.0,29437822124824.176
64,aime_Qwen3-8B_S32,32,2,1,3,60,0.38333333333333336,0.6831589145327368,83306.66666666667,2343936.3333333335,4.395391226877148e+16,190846523446314.66
65,aime_Qwen3-8B_S16,32,2,1,3,60,0.3277777777777778,0.6586878732886671,86115.0,1232375.0,2.905781216810125e+16,140932735286382.94
66,aime_Qwen3-8B_S8,32,2,1,3,60,0.3055555555555555,0.630937054185531,87500.0,655279.0,1.9380380792376516e+16,102127741454916.27
67,aime_Qwen3-8B_S4,32,2,1,3,60,0.2611111111111111,0.5904075176715063,90824.0,350439.6666666667,1.3733290132043986e+16,76350976820684.8
68,aime_Qwen3-8B_S2,32,2,1,3,60,0.19444444444444445,0.5401914007522098,96238.33333333333,188819.66666666666,8810096510402409.0,50981644422087.1
69,aime_Qwen3-8B_S1,32,2,1,3,60,0.13333333333333333,0.4573341002879224,104905.0,104905.0,5828467404363264.0,34400603911769.598
70,aime_Qwen3-8B_S16,16,4,2,3,60,0.3333333333333333,0.7164758576166195,89588.33333333333,2345157.0,3.759482555045121e+16,160910466369962.66
71,aime_Qwen3-8B_S8,16,4,2,3,60,0.3055555555555555,0.6826171277187391,86573.33333333333,1215962.0,2.4568396294682932e+16,118150696675212.8
72,aime_Qwen3-8B_S4,16,4,2,3,60,0.24444444444444446,0.6511835677706926,91737.66666666667,661611.3333333334,1.6529747273707376e+16,86151238853714.48
73,aime_Qwen3-8B_S2,16,4,2,3,60,0.2333333333333333,0.5904038158988764,94053.66666666667,361384.3333333333,1.1351499794263892e+16,62178407111482.31
74,aime_Qwen3-8B_S1,16,4,2,3,60,0.16666666666666666,0.5182113238635595,97738.0,195562.33333333334,7271171043574567.0,41394699054000.35
75,aime_Qwen3-8B_S8,8,8,2,3,60,0.2833333333333333,0.7039641474058569,83716.33333333333,1199670.3333333333,2.9711272198473012e+16,129727001797269.33
76,aime_Qwen3-8B_S4,8,8,2,3,60,0.25555555555555554,0.6553440958334023,88345.0,638325.0,1.9277222758032236e+16,93493576622968.89
77,aime_Qwen3-8B_S2,8,8,2,3,60,0.2111111111111111,0.627279410712149,87288.66666666667,337822.0,1.2601009558812202e+16,65655815084002.13
78,aime_Qwen3-8B_S1,8,8,2,3,60,0.18333333333333335,0.5424451599144726,92447.0,185098.0,7864129532161888.0,43060056524169.96
79,aime_Qwen3-8B_S4,4,16,4,3,60,0.25,0.6973318056601353,80896.66666666667,1162994.6666666667,2.3437935879709824e+16,99878001596224.0
80,aime_Qwen3-8B_S2,4,16,4,3,60,0.22222222222222224,0.6445879427987368,83095.66666666667,620258.6666666666,1.5138231573304922e+16,71818503148804.27
81,aime_Qwen3-8B_S1,4,16,4,3,60,0.18333333333333335,0.5826595409030138,84442.66666666667,339173.0,9639342855575654.0,48979351430409.96
82,aime_Qwen3-8B_S2,2,32,4,3,60,0.2833333333333333,0.6616592267295073,86379.33333333333,610868.6666666666,1.907922310625514e+16,78855383287590.4
83,aime_Qwen3-8B_S1,2,32,4,3,60,0.2388888888888889,0.6180585051134161,88210.0,351983.3333333333,1.2120509621960582e+16,55134846382828.086
84,aime_Qwen3-8B_S1,1,64,4,3,60,0.20000000000000004,0.6359539347469637,82302.0,329261.0,1.3653636472458106e+16,55905226637653.336
85,aime_Qwen3-4B_S64,64,1,1,3,60,0.38333333333333336,0.7107015681070826,78254.66666666667,4379439.333333333,3.309872906147251e+16,107723495864584.55
86,aime_Qwen3-4B_S32,64,1,1,3,60,0.3111111111111111,0.6774814480824007,81833.66666666667,2351925.3333333335,2.0659494788373948e+16,79686926590444.08
87,aime_Qwen3-4B_S16,64,1,1,3,60,0.31666666666666665,0.6611177368838473,82715.0,1239420.0,1.3574227741026576e+16,59942330768913.06
88,aime_Qwen3-4B_S8,64,1,1,3,60,0.24444444444444446,0.6256288466255092,86830.33333333333,661654.3333333334,8763052020521424.0,43116774701812.625
89,aime_Qwen3-4B_S4,64,1,1,3,60,0.19999999999999998,0.5892909110955753,84138.66666666667,350093.6666666667,5872231147338055.0,31037963037775.645
90,aime_Qwen3-4B_S2,64,1,1,3,60,0.16666666666666666,0.5024586637799181,90119.0,189035.66666666666,3934258070329520.0,21728925055428.266
91,aime_Qwen3-4B_S1,64,1,1,3,60,0.11666666666666665,0.42063439343337783,93880.66666666667,93880.66666666667,2293536772754546.0,13070688022562.133
92,aime_Qwen3-4B_S32,32,2,1,3,60,0.4000000000000001,0.7073893349005157,80782.33333333333,2040639.0,2.5009649474157452e+16,88243089891712.0
93,aime_Qwen3-4B_S16,32,2,1,3,60,0.3499999999999999,0.6763083862791026,79951.0,1165091.6666666667,1.5955791046667862e+16,65499710979473.06
94,aime_Qwen3-4B_S8,32,2,1,3,60,0.3055555555555555,0.6496097393952233,82856.0,613279.0,1.035918375599615e+16,47952481189600.71
95,aime_Qwen3-4B_S4,32,2,1,3,60,0.2333333333333333,0.6079816725906432,84771.66666666667,331580.6666666667,6638654642419197.0,33653624001174.754
96,aime_Qwen3-4B_S2,32,2,1,3,60,0.19444444444444442,0.5482777889780815,86106.0,179220.0,4377609584775950.0,23495125509612.09
97,aime_Qwen3-4B_S1,32,2,1,3,60,0.12777777777777777,0.4593705551486302,89959.66666666667,89959.66666666667,2628653047151840.5,14624256329409.422
98,aime_Qwen3-4B_S16,16,4,2,3,60,0.3,0.72897679152381,75604.66666666667,2081132.6666666667,2.105555419059749e+16,72642263612492.8
99,aime_Qwen3-4B_S8,16,4,2,3,60,0.27777777777777773,0.6846430648463162,76165.0,1103434.0,1.3061528275341006e+16,52898294706312.53
100,aime_Qwen3-4B_S4,16,4,2,3,60,0.21666666666666667,0.6581801272011937,77877.0,618553.0,8435097602961815.0,38144775759943.12
101,aime_Qwen3-4B_S2,16,4,2,3,60,0.17777777777777778,0.5807958892493583,83111.66666666667,317051.0,5167003995282625.0,25745748727981.51
102,aime_Qwen3-4B_S1,16,4,2,3,60,0.15,0.5137050787577944,81642.0,165090.33333333334,3238913151284477.5,17233958406832.357
103,aime_Qwen3-4B_S8,8,8,2,3,60,0.2833333333333333,0.7065056421075093,79609.66666666667,1077353.0,1.5880566242230314e+16,57604996053230.93
104,aime_Qwen3-4B_S4,8,8,2,3,60,0.26666666666666666,0.6701352531208912,79093.66666666667,567983.0,1.0019252982900048e+16,41664368484198.4
105,aime_Qwen3-4B_S2,8,8,2,3,60,0.2111111111111111,0.6173831590940516,77222.33333333333,304827.3333333333,5997272602013628.0,27725912561112.176
106,aime_Qwen3-4B_S1,8,8,2,3,60,0.16666666666666666,0.5328029168780976,84468.33333333333,168092.0,3878503928005066.0,19257497366991.645
107,aime_Qwen3-4B_S4,4,16,4,3,60,0.2833333333333333,0.7067959202651474,75201.0,1087114.6666666667,1.4081807252772122e+16,48778123177164.79
108,aime_Qwen3-4B_S2,4,16,4,3,60,0.21666666666666667,0.6529244571802671,77576.66666666667,596565.6666666666,8392144473449879.0,33378795109868.09
109,aime_Qwen3-4B_S1,4,16,4,3,60,0.15,0.5796139740306095,86030.0,346207.3333333333,5625021661203115.0,24363779551644.44
110,aime_Qwen3-4B_S2,2,32,4,3,60,0.18333333333333332,0.671989550038535,75235.33333333333,581300.6666666666,1.0077198854988536e+16,34820749460957.863
111,aime_Qwen3-4B_S1,2,32,4,3,60,0.14444444444444446,0.6138868570766648,74395.66666666667,298244.3333333333,5942996877185189.0,23333125518165.332
112,aime_Qwen3-4B_S1,1,64,4,3,60,0.13333333333333333,0.6333694691045452,75147.0,300670.0,8295774618572732.0,27412273572326.395
113,aime_Qwen3-1.7B_S64,64,1,1,3,60,0.10000000000000002,0.4855318670576089,48441.666666666664,1905968.3333333333,5938622900678780.0,21573289931528.535
114,aime_Qwen3-1.7B_S32,64,1,1,3,60,0.06666666666666667,0.4434324503007376,42944.333333333336,998601.3333333334,3697394349016286.0,15508847418574.225
115,aime_Qwen3-1.7B_S16,64,1,1,3,60,0.061111111111111116,0.40624994835838435,42792.333333333336,511378.3333333333,2418697925413125.5,11276065409618.49
116,aime_Qwen3-1.7B_S8,64,1,1,3,60,0.03333333333333333,0.3443299517451637,40324.0,263485.0,1604780814688118.0,8242527635218.489
117,aime_Qwen3-1.7B_S4,64,1,1,3,60,0.022222222222222223,0.2729074996725278,34370.0,131689.66666666666,1036979740207776.6,5662233032382.578
118,aime_Qwen3-1.7B_S2,64,1,1,3,60,0.022222222222222223,0.22138668062733333,33214.0,66130.33333333333,662540074396470.0,3754075619013.689
119,aime_Qwen3-1.7B_S1,64,1,1,3,60,0.011111111111111112,0.17827721016422912,31505.666666666668,31505.666666666668,382363903492798.56,2241541299170.1333
120,aime_Qwen3-1.7B_S32,32,2,1,3,60,0.21666666666666667,0.6909849894851999,64996.666666666664,1830992.3333333333,1.1030395232515456e+16,33824719616307.2
121,aime_Qwen3-1.7B_S16,32,2,1,3,60,0.20000000000000004,0.6515365842227854,66943.0,931364.0,6720715315253821.0,24735085007937.42
122,aime_Qwen3-1.7B_S8,32,2,1,3,60,0.1611111111111111,0.6132253194924797,65761.33333333333,490551.3333333333,4251614608948014.5,18051996071802.31
123,aime_Qwen3-1.7B_S4,32,2,1,3,60,0.12777777777777777,0.5376852003178368,66222.0,259005.33333333334,2760869564480523.5,13036919571956.623
124,aime_Qwen3-1.7B_S2,32,2,1,3,60,0.05555555555555556,0.47054590947727776,69251.33333333333,133268.66666666666,1778242541931490.0,8993735211138.844
125,aime_Qwen3-1.7B_S1,32,2,1,3,60,0.03888888888888889,0.36038465100523515,67849.33333333333,67849.33333333333,1092449844021421.5,5883266013124.267
126,aime_Qwen3-1.7B_S16,16,4,2,3,60,0.2333333333333333,0.7177371730138092,69249.0,1838450.3333333333,1.0491811313298082e+16,30618268658939.734
127,aime_Qwen3-1.7B_S8,16,4,2,3,60,0.18888888888888888,0.6680320116969142,69265.0,952603.0,6253663319844844.0,22145714245331.91
128,aime_Qwen3-1.7B_S4,16,4,2,3,60,0.15555555555555556,0.6187670668571382,71054.0,510274.3333333333,4128237556527028.5,16758703413799.822
129,aime_Qwen3-1.7B_S2,16,4,2,3,60,0.13888888888888887,0.5623721853996194,73381.0,268394.3333333333,2599331385196184.0,11788665099625.244
130,aime_Qwen3-1.7B_S1,16,4,2,3,60,0.07777777777777778,0.48473878075350174,67069.0,133557.0,1513426634639210.8,7530572158372.978
131,aime_Qwen3-1.7B_S8,8,8,2,3,60,0.20000000000000004,0.6717525506318737,79162.0,1239531.0,1.317335020515769e+16,34359279768844.8
132,aime_Qwen3-1.7B_S4,8,8,2,3,60,0.14444444444444446,0.638728994526654,79384.33333333333,647788.6666666666,7511528820756999.0,23809870492710.402
133,aime_Qwen3-1.7B_S2,8,8,2,3,60,0.12777777777777777,0.5710000951789082,84050.33333333333,347519.0,4624825785794875.0,16739828052425.955
134,aime_Qwen3-1.7B_S1,8,8,2,3,60,0.07777777777777778,0.4509696758836417,84734.66666666667,169707.66666666666,2581123572227429.5,10486495109479.822
135,aime_Qwen3-1.7B_S4,4,16,4,3,60,0.15,0.7285987343113643,63367.0,933840.6666666666,7971264838342460.0,22837047112499.2
136,aime_Qwen3-1.7B_S2,4,16,4,3,60,0.12222222222222223,0.6751590712353973,62666.333333333336,497901.0,4827512348637917.0,16249426260211.201
137,aime_Qwen3-1.7B_S1,4,16,4,3,60,0.09444444444444444,0.594587998873206,63075.666666666664,252304.0,2677228881974936.5,10389476695230.578
138,aime_Qwen3-1.7B_S2,2,32,4,3,60,0.11666666666666665,0.6938059229791097,58438.333333333336,469395.3333333333,5665896302380489.0,16785356622540.803
139,aime_Qwen3-1.7B_S1,2,32,4,3,60,0.09444444444444444,0.6131640041187998,62060.333333333336,249762.33333333334,3415807384365276.0,11598374127513.6
140,aime_Qwen3-1.7B_S1,1,64,4,3,60,0.11666666666666665,0.5891129690473818,63355.0,252983.0,4764095531466850.0,12836650364010.666
141,aime_Qwen3-0.6B_S64,64,1,1,3,60,0.10000000000000002,0.42239807762765874,35814.333333333336,1558882.0,2082480066194159.0,5987506497066.667
142,aime_Qwen3-0.6B_S32,64,1,1,3,60,0.08888888888888889,0.3784386488578005,34932.333333333336,789012.6666666666,1280702248461295.0,4427054462301.867
143,aime_Qwen3-0.6B_S16,64,1,1,3,60,0.044444444444444446,0.310082669286635,32707.333333333332,416864.0,782021494971508.6,3135346542623.289
144,aime_Qwen3-0.6B_S8,64,1,1,3,60,0.05555555555555555,0.29660640331618143,32118.0,206304.66666666666,520788886824820.7,2345517424890.311
145,aime_Qwen3-0.6B_S4,64,1,1,3,60,0.016666666666666666,0.21799143969765342,30392.333333333332,105474.0,332956387244521.25,1649187383509.3333
146,aime_Qwen3-0.6B_S2,64,1,1,3,60,0.005555555555555556,0.16576748406819208,27155.0,51024.666666666664,206756518003035.0,1097492663446.7555
147,aime_Qwen3-0.6B_S1,64,1,1,3,60,0.0,0.12549467957886531,26845.0,26845.0,135200669563630.94,747473424463.6445
