序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
272,aime_Qwen3-4B_S16,32,2,1,1,60,0.31666666666666665,0.6643024556678376,81276,1173406,182211825569100.8,1031105610001.0667
273,aime_Qwen3-4B_S16,32,2,1,1,60,0.36666666666666664,0.6713195932296309,81325,1090217,190213653236164.28,1082069985100.8
274,aime_Qwen3-4B_S8,32,2,1,1,60,0.31666666666666665,0.6478539472075772,81571,579543,154275678885930.66,918292521924.2667
275,aime_Qwen3-4B_S8,32,2,1,1,60,0.3,0.6460668514063109,82738,613803,155274711964450.12,921562855611.7333
276,aime_Qwen3-4B_S8,32,2,1,1,60,0.3,0.634400517682057,84408,595792,158522310758289.06,942369231232.0
277,aime_Qwen3-4B_S4,32,2,1,1,60,0.2,0.588283320764435,86476,334524,122269068594261.33,744143135394.1333
278,aime_Qwen3-4B_S4,32,2,1,1,60,0.21666666666666667,0.5968073711201903,83408,319850,136086189733546.67,831149548561.0667
279,aime_Qwen3-4B_S4,32,2,1,1,60,0.2833333333333333,0.6255829962085678,83571,309414,128816531759872.0,787376657792.0
280,aime_Qwen3-4B_S2,32,2,1,1,60,0.21666666666666667,0.5308868595431185,91346,177014,101492972524544.0,627374002227.2
281,aime_Qwen3-4B_S2,32,2,1,1,60,0.18333333333333332,0.5579810629633374,82794,181599,106792175437363.2,660962806161.0667
282,aime_Qwen3-4B_S2,32,2,1,1,60,0.18333333333333332,0.5559654444277886,84454,168139,108448595599837.86,671789451972.2667
