序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,访存量
85,aime_Qwen3-4B_S64,64,1,1,3,60,0.16666666666666666,0.5174172380696772,57570.333333333336,277407.3333333333,8388634321949380.0,33858306908706.137
86,aime_Qwen3-4B_S32,64,1,1,3,60,0.18888888888888888,0.5219243510043198,58772.333333333336,221207.66666666666,6490141604936445.0,30184488208216.176
87,aime_Qwen3-4B_S16,64,1,1,3,60,0.18333333333333335,0.5235677070080763,60275.666666666664,194865.66666666666,5245620664483652.0,27208703139868.44
88,aime_Qwen3-4B_S8,64,1,1,3,60,0.1722222222222222,0.5004027660833256,66103.33333333333,159302.0,4360374810987136.0,24047775688923.02
89,aime_Qwen3-4B_S4,64,1,1,3,60,0.1277777777777778,0.4857165357049826,72001.66666666667,128567.0,3561797436885222.5,20601674098995.2
90,aime_Qwen3-4B_S2,64,1,1,3,60,0.13888888888888887,0.46319668702843986,82100.33333333333,109712.0,2971210794783960.0,17535731938218.666
91,aime_Qwen3-4B_S1,64,1,1,3,60,0.11666666666666665,0.42063439343337783,93880.66666666667,93880.66666666667,2180171518586046.8,12964417036322.133
92,aime_Qwen3-4B_S32,32,2,1,3,60,0.4000000000000001,0.7079901189081484,80879.33333333333,1979162.3333333333,225139756605892.28,1176275410227.2
93,aime_Qwen3-4B_S16,32,2,1,3,60,0.3499999999999999,0.6743671270057147,79933.66666666667,1126620.3333333333,186710683007422.6,1059306429988.9779
94,aime_Qwen3-4B_S8,32,2,1,3,60,0.3055555555555555,0.6427737720986483,82905.66666666667,596379.3333333334,156024233869556.62,927408202922.6666
95,aime_Qwen3-4B_S4,32,2,1,3,60,0.2333333333333333,0.6035578960310644,84485.0,321262.6666666667,129057263362560.0,787556447249.0668
96,aime_Qwen3-4B_S2,32,2,1,3,60,0.19444444444444442,0.5482777889780815,86198.0,175584.0,105577914520581.69,653375420120.1777
97,aime_Qwen3-4B_S1,32,2,1,3,60,0.12777777777777777,0.4593705551486302,89959.66666666667,89959.66666666667,86853631839160.89,541107318380.08887
98,aime_Qwen3-4B_S16,16,4,2,3,60,0.3,0.7284724170028883,75886.33333333333,1975599.6666666667,201005527897736.53,1132502845806.9333
99,aime_Qwen3-4B_S8,16,4,2,3,60,0.27777777777777773,0.6844986082953403,75593.0,1054802.0,166893578483723.38,988392511047.1112
100,aime_Qwen3-4B_S4,16,4,2,3,60,0.21666666666666667,0.6563990816967998,77846.33333333333,591244.3333333334,135131835617757.86,822628083262.5778
101,aime_Qwen3-4B_S2,16,4,2,3,60,0.17777777777777778,0.5808973510683498,81932.33333333333,308546.6666666667,111150201794895.64,687129637990.4
102,aime_Qwen3-4B_S1,16,4,2,3,60,0.15,0.5137050787577944,81642.0,165090.33333333334,94703608308855.45,590418380626.4889
103,aime_Qwen3-4B_S8,8,8,2,3,60,0.2833333333333333,0.7065056421075093,79609.66666666667,1070936.0,126540913788714.67,742353277073.0668
104,aime_Qwen3-4B_S4,8,8,2,3,60,0.26666666666666666,0.6701352531208912,79093.66666666667,565242.6666666666,106401210014953.25,644322595939.5555
105,aime_Qwen3-4B_S2,8,8,2,3,60,0.2111111111111111,0.6173831590940516,77222.33333333333,304827.3333333333,94055821381165.5,580868729935.6444
106,aime_Qwen3-4B_S1,8,8,2,3,60,0.16666666666666666,0.5328029168780976,84468.33333333333,168092.0,80421416582784.0,501002302688.7111
107,aime_Qwen3-4B_S4,4,16,4,3,60,0.2833333333333333,0.7067959202651474,75201.0,1087114.6666666667,123237517213056.0,749461897472.0
108,aime_Qwen3-4B_S2,4,16,4,3,60,0.21666666666666667,0.6529244571802671,77576.66666666667,596565.6666666666,102017602043648.0,630400080207.6444
109,aime_Qwen3-4B_S1,4,16,4,3,60,0.15,0.5796139740306095,86030.0,346207.3333333333,87245274388101.69,543936213506.8445
110,aime_Qwen3-4B_S2,2,32,4,3,60,0.18333333333333332,0.671989550038535,75235.33333333333,581300.6666666666,99366787419025.06,613955920290.1333
111,aime_Qwen3-4B_S1,2,32,4,3,60,0.14444444444444446,0.6138868570766648,74395.66666666667,298244.3333333333,86209617431941.69,537661230518.04443
112,aime_Qwen3-4B_S1,1,64,4,3,60,0.13333333333333333,0.6333694691045452,75147.0,300670.0,83005007667387.73,517476951987.2
113,aime_Qwen3-1.7B_S64,64,1,1,3,60,0.03333333333333333,0.2803593331866505,14224.333333333334,155483.66666666666,1041480841789427.4,4445503015176.533
114,aime_Qwen3-1.7B_S32,64,1,1,3,60,0.027777777777777776,0.2563858536135259,14814.666666666666,95702.66666666667,785276272709117.1,3810582621808.3555
115,aime_Qwen3-1.7B_S16,64,1,1,3,60,0.016666666666666666,0.2323790299552236,15106.666666666666,66692.66666666667,646925729574227.9,3425634222985.9556
116,aime_Qwen3-1.7B_S8,64,1,1,3,60,0.011111111111111112,0.20755584770134228,18275.333333333332,50178.333333333336,600299322173993.2,3387990350020.267
117,aime_Qwen3-1.7B_S4,64,1,1,3,60,0.016666666666666666,0.1927949449956563,20289.666666666668,36847.333333333336,503761860493088.7,2957611763894.0444
118,aime_Qwen3-1.7B_S2,64,1,1,3,60,0.011111111111111112,0.184736759596595,26067.666666666668,37097.0,481970383184908.8,2875886851025.067
119,aime_Qwen3-1.7B_S1,64,1,1,3,60,0.011111111111111112,0.17827721016422912,31505.666666666668,31505.666666666668,370996962071490.8,2231775126156.8003
120,aime_Qwen3-1.7B_S32,32,2,1,3,60,0.21666666666666667,0.6909501297071089,65019.666666666664,1824531.3333333333,118382958936823.45,494711615552.0
121,aime_Qwen3-1.7B_S16,32,2,1,3,60,0.20000000000000004,0.6505093858824319,66692.33333333333,927912.0,86746767064951.47,419465381390.2222
122,aime_Qwen3-1.7B_S8,32,2,1,3,60,0.1611111111111111,0.6121462772443239,65688.66666666667,488002.0,63562097043409.06,335522322259.9111
123,aime_Qwen3-1.7B_S4,32,2,1,3,60,0.12777777777777777,0.5366061580696809,66149.33333333333,256456.33333333334,51197282168644.27,288140939808.7111
124,aime_Qwen3-1.7B_S2,32,2,1,3,60,0.05555555555555556,0.47054590947727776,69251.33333333333,132553.66666666666,39524128119944.53,229687051656.53333
