序号,model_sample_size,qp,cp,bs,n_trials,n_question,准确性,平均reward,answer_tokens,total_tokens,mean_eflops,mean_memory
241,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.06666666666666667,0.3864510752604449,30345,112286,826271077773585.1,2702518509158.4
242,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.05,0.41583336288161915,31797,117868,804312018551782.4,2666936804292.2666
243,aime_Qwen3-0.6B_S2,8,8,2,1,60,0.03333333333333333,0.411519481554748,34850,116895,726651701817506.1,2612570844194.1333
244,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.05,0.3513398001214522,27746,54524,399259923423692.8,1618446787891.2
245,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.016666666666666666,0.3479500561914801,29306,58536,433085701184494.94,1750641396078.9333
246,aime_Qwen3-0.6B_S1,8,8,2,1,60,0.05,0.3284032360351718,25863,51765,341442008441625.6,1435295860471.4666
247,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7134759838291298,78393,1066283,1.5880566242230314e+16,57604996053230.93
248,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7004339904027853,78634,1090137,1.5880566242230314e+16,57604996053230.93
249,aime_Qwen3-4B_S8,8,8,2,1,60,0.2833333333333333,0.7056069520906126,81802,1075639,1.5880566242230314e+16,57604996053230.93
250,aime_Qwen3-4B_S4,8,8,2,1,60,0.26666666666666666,0.667368229765406,78297,562751,1.0093384136079598e+16,42234321430476.8
251,aime_Qwen3-4B_S4,8,8,2,1,60,0.25,0.6635074433347842,78469,574432,1.0058279339903198e+16,41677355735483.734
252,aime_Qwen3-4B_S4,8,8,2,1,60,0.2833333333333333,0.6795300862624833,80515,566766,9906095472717346.0,41081428286634.664
253,aime_Qwen3-4B_S2,8,8,2,1,60,0.21666666666666667,0.6138740284887653,77580,307786,6123274572047906.0,28146995971848.535
254,aime_Qwen3-4B_S2,8,8,2,1,60,0.21666666666666667,0.6262204866963849,70960,297061,5665893912403140.0,26512071446109.867
255,aime_Qwen3-4B_S2,8,8,2,1,60,0.2,0.6120549620970047,83127,309635,6202649321589837.0,28518670265378.133
256,aime_Qwen3-4B_S1,8,8,2,1,60,0.13333333333333333,0.48924925981313244,86578,173197,4041701777060104.5,19968486402440.535
257,aime_Qwen3-4B_S1,8,8,2,1,60,0.15,0.5315499675439571,84005,167955,3742520791535189.5,18736485262370.133
258,aime_Qwen3-4B_S1,8,8,2,1,60,0.21666666666666667,0.5776095232772032,82822,163124,3851289215419904.0,19067520436164.266
259,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.7004249244622288,81735,1137645,2.3437935879709824e+16,99878001596224.0
260,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.6948172948252839,79549,1168926,2.3437935879709824e+16,99878001596224.0
261,aime_Qwen3-8B_S4,4,16,4,1,60,0.25,0.6967531976928935,81406,1182413,2.3437935879709824e+16,99878001596224.0
262,aime_Qwen3-8B_S2,4,16,4,1,60,0.23333333333333334,0.6542353453010032,78776,592713,1.4078475100720726e+16,67247447848157.87
263,aime_Qwen3-8B_S2,4,16,4,1,60,0.23333333333333334,0.6306756609550432,86945,621337,1.5411124387552866e+16,73357803445576.53
264,aime_Qwen3-8B_S2,4,16,4,1,60,0.2,0.6488528221401637,83566,646726,1.5925095231641174e+16,74850258152678.4
265,aime_Qwen3-8B_S1,4,16,4,1,60,0.2,0.5907777247623242,89584,359692,1.0382434475903356e+16,52138438005307.734
266,aime_Qwen3-8B_S1,4,16,4,1,60,0.18333333333333332,0.5952153209593907,77381,311370,8699782857196625.0,44984670067319.47
267,aime_Qwen3-8B_S1,4,16,4,1,60,0.16666666666666666,0.5619855769873264,86363,346457,9835811233626982.0,49814946218602.664
